,ccode,cname,ccode_qog,cname_qog,ccodealp,version,bmr_dem,bmr_dembr,bmr_demdur,bmr_demfsuf,bmr_demtran,egov_egov,egov_epar,egov_hci,egov_osi,egov_tii,fh_aor,fh_cl,fh_ep,fh_feb,fh_fog,fh_pair,fh_ppp,fh_pr,fh_rol,fh_status,fhp_mcei5,fhp_mclr5,fhp_mcpp5,fhp_score5,fhp_status5,gendip_afr,gendip_afrp,gendip_afs,gendip_afsp,gendip_mar,gendip_mas,gendip_mfr,gendip_mfrp,gendip_mfs,gendip_mfsp,gendip_nar,gendip_nas,gendip_nfr,gendip_nfs,gendip_nfsp,gendip_rec,gendip_send,ht_colonial,ht_region,ipu_l_s,ipu_l_sw,ipu_l_w,jht_ccc,jht_ccd,nrmi_nrpi,une_oaepe,une_oeace,une_oeals,une_oeapsnt,une_oeaus,une_tdurce,une_tdurls,une_tdurpsnt,une_tdurused,wbgi_pve,wbgi_pvn,wbgi_pvs,wbgi_vae,wbgi_van,wbgi_vas,wdi_acel,wdi_acelu,wdi_agedr,wdi_area,wdi_birth,wdi_death,wdi_forest,wdi_migration,wdi_mobile,wdi_pop,wdi_pop14,wdi_pop1564,wdi_pop65,wdi_popden,wdi_popf,wdi_popgr,wdi_poprul,wdi_popurb,wdi_popurbagr,wdi_tele,wdi_wip,target_death,target_case
97,430,Liberia,430,Liberia,LBR,QoGStdCSjan23,1,0,14,1,0,0.26050001,0.23810001,0.3933,0.2471,0.1411,7,4,8,11,7,9,12,3,6,2,21,17,22,60,2,11,31,11.0,61.0,9,7.0,2,22,3.0,43.0,27,11.0,9,8.0,73.0,36,18.0,0,4,73.0,12.30000019073486,9.0,1800.0,83.0,21.31953048706055,6.0,6.0,12.0,18.0,15.0,6.0,3.0,3.0,3.0,-0.33143371,7,0.21831912,-0.072639287,14,0.11777495,23.10000038146973,37.0,82.57186126708984,96320.0,32.18099975585938,8.657999992370605,79.39888000488281,-19697.0,38.85431671142578,4985289.0,41.83149719238281,54.77294158935547,3.395560503005981,51.757568359375,50.26482772827148,1.942361950874329,48.3849983215332,51.6150016784668,2.845409393310547,0.1203541085124016,12.32876682281494,1.6648984642615503e-05,0.00036106231755069764
98,434,Libya,434,Libya,LBY,QoGStdCSjan23,0,0,69,0,0,0.3743,0.035700001,0.73570001,0.041200001,0.3459,2,6,0,4,0,2,1,7,0,3,20,22,35,77,3,3,7,2.0,14.0,24,11.0,2,8,2.0,18.0,20,3.0,1,0.0,0.0,44,14.0,3,3,188.0,16.0,30.0,100277.0,1478.0,1.237348079681396,6.0,6.0,12.0,0.0,15.0,6.0,3.0,0.0,3.0,-2.5680742,6,0.23851493,-1.4771843,9,0.12520513,68.64240264892578,100.0,53.163330078125,1759540.0,18.73200035095215,5.453999996185303,0.1233276873826981,-1352.0,56.59841918945313,6569088.0,29.92298889160156,65.28977966308594,4.787232398986816,3.733412027359009,49.32307052612305,1.399514436721802,19.60700035095215,80.39299774169922,1.762139678001404,23.99115371704102,15.95744705200195,0.00022499318017965355,0.015264980466086008
99,438,Liechtenstein,438,Liechtenstein,LIE,QoGStdCSjan23,1,0,29,1,0,0.83590001,0.60710001,0.84890002,0.65880001,1.0,12,1,10,16,10,15,13,2,14,1,8,2,5,15,1,24,28,5.0,83.0,3,5.0,1,33,4.0,80.0,84,1.0,23,1.0,100.0,87,6.0,0,5,25.0,12.0,3.0,2221.0,44.0,77.55399322509766,7.0,6.0,12.0,0.0,16.0,5.0,4.0,0.0,3.0,1.6156358,4,0.25413197,1.229712,3,0.17155161,100.0,100.0,48.79170989990234,160.0,9.199999809265137,6.800000190734863,41.875,178.0,124.0787887573242,38482.0,14.74325656890869,67.20934295654297,18.04739952087402,240.5124969482422,50.36380767822266,0.7852590084075928,85.62899780273438,14.37100028991699,1.017820477485657,35.67122268676758,12.0,0.0011433917156072968,0.05771529546281378
100,440,Lithuania,440,Lithuania,LTU,QoGStdCSjan23,1,1,28,1,0,0.86650002,0.73809999,0.92180002,0.85290003,0.82489997,11,1,12,16,10,14,16,1,12,1,9,6,6,21,1,13,20,26.0,29.0,29,38.0,6,21,8.0,21.0,35,53.0,7,18.0,34.0,64,91.0,0,1,141.0,21.29999923706055,30.0,145052.0,1800.0,99.42611694335938,7.0,6.0,11.0,19.0,17.0,4.0,6.0,1.0,2.0,0.77981269,7,0.23223656,0.99634278,9,0.13129111,100.0,100.0,54.20743942260742,62620.0,9.800000190734863,13.69999980926514,35.13254547119141,-13398.0,130.0157928466797,2794137.0,14.97478294372559,64.84772491455078,20.17749214172363,44.62052154541016,53.25215148925781,-0.2647043466567993,32.14500045776367,67.8550033569336,-0.0049577825702727,12.92391300201416,21.27659606933594,0.0006442060643411544,0.051912987802673956
101,442,Luxembourg,442,Luxembourg,LUX,QoGStdCSjan23,1,0,130,1,0,0.8272,0.70240003,0.80970001,0.7647,0.90719998,12,1,12,16,10,16,16,1,16,1,6,3,5,14,1,32,21,20.0,32.0,20,30.0,3,15,9.0,30.0,130,33.0,29,11.0,33.0,150,63.0,0,5,60.0,25.0,15.0,46415.0,495.0,100.0,6.0,4.0,12.0,18.0,15.0,6.0,3.0,3.0,4.0,1.3491906,7,0.23223656,1.4935,7,0.15585248,100.0,100.0,43.82170867919922,2574.4599609375,10.0,6.900000095367432,34.45382690429688,10365.0,134.8284454345703,620001.0,16.02513313293457,69.53060913085938,14.44425773620605,240.8275909423828,49.70248794555664,1.962844967842102,8.777000427246094,91.22299957275392,2.228565692901611,43.13090896606445,25.0,0.0007983858090551466,0.07486278247938309
102,450,Madagascar,450,Madagascar,MDG,QoGStdCSjan23,1,1,1,1,1,0.30950001,0.2976,0.53070003,0.28819999,0.1096,9,3,9,11,6,8,11,3,7,2,16,19,23,58,2,8,18,1.0,11.0,13,5.0,2,15,1.0,20.0,31,4.0,6,0.0,0.0,44,9.0,6,4,151.0,15.89999961853027,24.0,17714.0,261.0,32.26882553100586,6.0,6.0,11.0,18.0,15.0,5.0,4.0,2.0,3.0,-0.32069647,7,0.23301464,-0.23416725,13,0.11815637,31.04000091552734,70.16197204589844,76.10334014892578,581800.0,31.70100021362305,6.51800012588501,21.38712692260742,-1487.0,47.22673416137695,27533134.0,40.03970336914063,56.78483963012695,3.175453901290894,47.32405471801758,49.86209106445313,2.525316715240479,62.13899993896484,37.86100006103516,4.310794830322266,0.2675794064998627,15.89404010772705,9.479487514933825e-06,0.0006433702752472711
103,454,Malawi,454,Malawi,MWI,QoGStdCSjan23,1,0,26,1,0,0.34799999,0.41670001,0.48120001,0.4235,0.13940001,7,3,8,13,6,7,12,3,9,2,15,15,15,45,2,11,23,8.0,11.0,17,12.0,4,24,2.0,17.0,31,59.0,7,6.0,10.0,48,71.0,5,4,192.0,22.89999961853027,44.0,6583.0,189.0,99.9621124267578,6.0,6.0,12.0,18.0,16.0,6.0,4.0,2.0,2.0,-0.28017539,6,0.23854543,-0.10522249,12,0.12081306,11.19999980926514,45.5,89.23883819580078,94280.0,33.59799957275391,6.611000061035156,24.2225284576416,-2228.0,47.17691040039063,18867336.0,44.28566360473633,52.84327697753906,2.871059656143188,200.1202545166016,51.40627288818359,2.682857513427734,82.82599639892578,17.17399978637695,4.072457790374756,0.0694374591112137,22.91666603088379,1.0017312460010252e-05,0.0003489098831970767
104,458,Malaysia,458,Malaysia (1966-),MYS,QoGStdCSjan23,0,0,63,0,0,0.78920001,0.85710001,0.75129998,0.85290003,0.76340002,6,4,6,9,6,9,9,4,7,2,18,26,25,69,3,24,19,22.0,18.0,97,69.0,19,20,14.0,20.0,32,50.0,5,8.0,16.0,129,119.0,5,7,222.0,14.39999961853027,32.0,113010.0,471.0,100.0,6.0,6.0,12.0,0.0,15.0,6.0,3.0,0.0,3.0,0.14387681,9,0.20948239,-0.048995554,11,0.12155297,100.0,100.0,43.63801574707031,328550.0,15.57999992370605,5.252999782562256,58.3296012878418,60824.0,135.9610748291016,32804020.0,23.6196346282959,69.61945343017578,6.760912418365479,99.84483337402344,48.80498123168945,1.241514682769775,23.39299964904785,76.60700225830078,1.989669442176819,22.57375717163086,14.41441440582275,1.4357996367518371e-05,0.0034450046061427837
105,462,Maldives,462,Maldives,MDV,QoGStdCSjan23,0,1,8,0,0,0.574,0.44049999,0.6886,0.43529999,0.59810001,6,5,7,3,4,7,7,4,6,2,16,21,25,62,3,9,19,8.0,38.0,9,15.0,2,22,6.0,40.0,39,6.0,7,2.0,33.0,48,21.0,5,8,87.0,4.599999904632568,4.0,13757.0,48.0,2.378834962844849,6.0,6.0,13.0,18.0,16.0,7.0,3.0,2.0,2.0,0.032002181,3,0.28803214,-0.4633168,4,0.19137202,100.0,100.0,35.39976501464844,300.0,15.00100040435791,2.858000040054321,2.733333349227905,6690.0,164.1286163330078,504508.0,21.87229919433594,73.85542297363281,4.272281169891357,1681.693359375,42.19635772705078,2.967230558395386,59.76200103759766,40.23799896240234,4.04158878326416,3.303020000457764,4.597701072692871,9.514219794334282e-05,0.027268150356386817
106,466,Mali,466,Mali,MLI,QoGStdCSjan23,0,1,8,0,0,0.30970001,0.32139999,0.2274,0.34709999,0.35460001,6,5,5,10,4,4,8,5,4,2,10,8,19,37,2,10,22,6.0,16.0,24,15.0,3,12,1.0,7.0,21,22.0,7,5.0,23.0,45,37.0,6,4,147.0,9.5,14.0,7090.0,269.0,39.88543319702148,7.0,7.0,13.0,19.0,16.0,6.0,3.0,2.0,3.0,-2.2011039,6,0.23851493,-0.44351009,13,0.12251643,47.83627700805664,91.08195495605467,101.3523406982422,1220190.0,42.37599945068359,9.204999923706056,10.89666366577148,-44428.0,111.4650115966797,20567424.0,47.79684448242188,49.6641845703125,2.538968801498413,16.85591888427734,49.4949836730957,3.126669883728027,56.86399841308594,43.13600158691406,4.951455593109131,1.177789688110352,9.523809432983398,1.3078934921553618e-05,0.00034471988324838345
