,Dependent Variable,Independent Variable,Coefficient,Std Err,t Value,P Value
0,target_death,wdi_pop65,3.299553492861721e-05,4.267900399131348e-06,7.731093006606442,8.909036865540484e-13
1,target_death,ht_region,-5.4534774566052875e-05,1.4018889214228378e-05,-3.8900924126501524,0.00014358712161522763
2,target_death,egov_hci,0.0010131277626847573,0.00015097875743220858,6.710399396018773,2.769138777892218e-10
3,target_death,wdi_tele,1.0649400562383287e-05,1.8651931799357998e-06,5.709542945438949,4.948813642629707e-08
4,target_death,egov_egov,0.0009318329675204503,0.0001394441557611843,6.682481330492845,3.220702347650122e-10
5,target_death,wdi_acel,7.009384086358706e-06,1.2049131789973098e-06,5.817335396888671,2.9001954862153874e-08
6,target_death,wdi_pop14,-2.035918294604255e-05,2.7216194789227213e-06,-7.480539841705269,3.780248407001854e-12
7,target_death,wdi_death,3.652413985622388e-05,1.2280335892425879e-05,2.9741971372909117,0.0033650086030979584
8,target_death,wdi_popden,-1.9484001439811688e-08,2.2505226619608033e-08,-0.8657545097917808,0.3878449543255227
9,target_case,wdi_pop65,0.0016149586597365981,0.0001925437748354845,8.387488305537117,1.833907723440729e-14
10,target_case,ht_region,-0.002622618974178344,0.0006443623520940673,-4.070099635174652,7.185365738342361e-05
11,target_case,egov_hci,0.05316784264028551,0.006690041097304564,7.947311812734153,2.5161308481263296e-13
12,target_case,wdi_tele,0.0006183634530367006,8.110381842436547e-05,7.62434451361084,1.6535653391598733e-12
13,target_case,egov_egov,0.05098504119079111,0.006081260288813769,8.383959700685073,1.873235616686552e-14
14,target_case,wdi_acel,0.0003730659061582666,5.373611467200321e-05,6.942554526604727,7.783106172909071e-11
15,target_case,wdi_pop14,-0.001146110222292858,0.00011504051937648316,-9.96266557648338,1.0539923352387975e-18
16,target_case,wdi_death,0.0009967769122123191,0.0005761371091743578,1.7301036443230773,0.08542659596840908
17,target_case,wdi_popden,4.4687038029272017e-07,1.0401448248669848e-06,0.42962323092831484,0.6680137709932723
