,Dependent Variable,Independent Variable,Coefficient,Std Err,t Value,P Value
0,target_death,gendip_rec,5.727152495132551e-06,8.605581104566316e-07,6.655160674848086,3.7325740788585095e-10
1,target_death,ipu_l_s,-2.4132116213010983e-08,1.300591027228242e-07,-0.18554730663058783,0.853020976659341
2,target_death,wdi_acel,7.009384086358706e-06,1.2049131789973098e-06,5.817335396888671,2.9001954862153874e-08
3,target_death,wdi_area,8.892973160055177e-12,1.7726174908359266e-11,0.5016859647402808,0.6165375335070467
4,target_death,wdi_migration,5.723005221969653e-10,1.806358782264229e-10,3.168254987968668,0.0018186149874032307
5,target_death,wdi_mobile,2.872427006593504e-06,9.60024403571084e-07,2.992035406504974,0.0031838304701606594
6,target_death,wdi_popden,-1.9484001439811688e-08,2.2505226619608033e-08,-0.8657545097917808,0.3878449543255227
7,target_death,wdi_poprul,-6.96833058874222e-06,1.4096258384516976e-06,-4.943390223604359,1.8293161367178487e-06
8,target_death,wdi_tele,1.0649400562383287e-05,1.8651931799357998e-06,5.709542945438949,4.948813642629707e-08
9,target_case,gendip_rec,0.00025333273480722374,4.012406110414777e-05,6.313736143249862,2.2916272030457165e-09
10,target_case,ipu_l_s,-9.098861820101674e-06,5.9610071847098195e-06,-1.5263967209166522,0.1287694374833915
11,target_case,wdi_acel,0.0003730659061582666,5.373611467200321e-05,6.942554526604727,7.783106172909071e-11
12,target_case,wdi_area,-2.7191087638429763e-10,8.182500424939983e-10,-0.3323078060045344,0.7400662316688525
13,target_case,wdi_migration,2.2227114148073923e-08,8.406216546077628e-09,2.6441281908738334,0.008956805507053217
14,target_case,wdi_mobile,0.00020829876833638116,4.254783052915335e-05,4.895637820914439,2.2646353996877023e-06
15,target_case,wdi_popden,4.4687038029272017e-07,1.0401448248669848e-06,0.42962323092831484,0.6680137709932723
16,target_case,wdi_poprul,-0.00040568153232711096,6.221329488788628e-05,-6.520817343916345,7.671747626085882e-10
17,target_case,wdi_tele,0.0006183634530367006,8.110381842436547e-05,7.62434451361084,1.6535653391598733e-12
