,Feature,Importance_x,Importance_y
0,spi_fob,0.015446059409034296,0.0065460513882447625
1,wdi_pop14,0.01471160302059396,0.005404261402877337
2,wdi_broadb,0.014287241742299431,0.01802382481075811
3,ccodecow,0.013360677623350501,0.24900619894891743
4,who_halef,0.008789171447847702,0.00963016610374805
5,wdi_dgovhexp,0.006777750787799162,0.01705741729948607
6,van_index,0.005879213185324409,0.009099270539689275
7,fao_lupas,0.0056008874821752925,0.008621419439199899
