,Dependent Variable,Independent Variable,Coefficient,Std Err,t Value,P Value
0,target_death,wbgi_rqs,0.0023792565060381052,0.0008352020696615939,2.8487196002784443,0.004938469422823006
1,target_death,wdi_empindm,1.7923292868979794e-05,3.204047224719123e-06,5.593954024991317,9.044728502803848e-08
2,target_death,ccodecow,-8.763048125262115e-07,1.3012003428236205e-07,-6.734587931514215,2.4620652978060965e-10
3,target_death,h_lflo,0.0007428326188310908,0.00016327229057491917,4.5496551571329515,1.0569568730575814e-05
4,target_death,nunn_tropical,-3.177540034509483e-06,7.401467429927948e-07,-4.293121687817001,2.9790160160728587e-05
5,target_death,ht_colonial,-8.234917989964188e-05,1.1003965710927396e-05,-7.483591103693254,3.714789399449901e-12
6,target_death,cbie_boardref,0.0007854476708133865,0.00044999992667102824,1.7454395528992759,0.0830867827381935
7,target_death,br_elecyear,7.453108545505848e-05,7.591638853692938e-05,0.9817522525956696,0.3276336220744209
8,target_death,une_tdurce,-0.0001320753326748062,4.0360866801363325e-05,-3.272361154303676,0.0012917554580448138
9,target_death,cbie_policyref,0.0007854476708133865,0.00044999992667102824,1.7454395528992759,0.0830867827381935
10,target_death,une_oeals,-0.0001026323103336696,3.799496803715133e-05,-2.7012079661000405,0.007608549351863938
11,target_case,wbgi_rqs,0.21229119643517086,0.03641711750847688,5.829434369311505,2.776510619750773e-08
12,target_case,wdi_empindm,0.001073886836549069,0.0001302262997253739,8.24631306282772,4.8883806955831676e-14
13,target_case,ccodecow,-3.010915357612449e-05,6.306194188275559e-06,-4.774536380770396,3.88281586266689e-06
14,target_case,h_lflo,0.0336619423531068,0.007363258860183103,4.571609255126707,9.635835510455535e-06
15,target_case,nunn_tropical,-0.00019457424871000621,3.173192868397765e-05,-6.131812870493821,6.0729571255024105e-09
16,target_case,ht_colonial,-0.003929204542197854,0.0005019070941453191,-7.828549522474404,5.048467558349618e-13
17,target_case,cbie_boardref,0.037235068484214616,0.019261093338352995,1.933175226874144,0.05521867477414918
18,target_case,br_elecyear,0.0035968717546573954,0.0033702146936532523,1.0672530036234726,0.2873888495644233
19,target_case,une_tdurce,-0.007382865244051526,0.0018346719886038199,-4.024079121450949,8.595325768445699e-05
20,target_case,cbie_policyref,0.037235068484214616,0.019261093338352995,1.933175226874144,0.05521867477414918
21,target_case,une_oeals,-0.0054998232703920595,0.0017399685665997998,-3.1608750732432296,0.0018626663283546044
